,id,host_response_rate,accommodates,bathrooms,minimum_nights,availability_365,number_of_reviews,review_scores_rating,price,security_deposit,TV,Internet,Wifi,Heating,Air Conditioning,Cooking,Free Parking,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,prpt_Apartment,prpt_Bed and breakfast,prpt_Boutique hotel,prpt_Condominium,prpt_Guest suite,prpt_House,prpt_Loft,prpt_Serviced apartment,prpt_Townhouse,prpt_others,distance_ts,price_label,rating_label,price_rating_label,group_label,predict_label
163,63546,40.0,2,1,1,365,44,88.0,39.0,200.0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13.135036430043284,1,1,11,3,3
169,64837,100.0,2,1,2,43,191,91.0,68.0,100.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.979674645968165,1,1,11,3,3
173,66251,100.0,2,1,2,16,59,100.0,212.0,1000.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.56830248055003,0,0,00,0,0
176,66974,100.0,4,1,3,194,59,100.0,190.0,300.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.697044002903159,0,0,00,0,0
190,74073,100.0,4,1,3,99,41,100.0,195.0,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.788302583379704,0,0,00,0,1
201,83243,80.0,2,1,2,80,219,89.0,65.0,100.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.613767188767874,1,1,11,3,3
222,103806,100.0,6,1,5,363,162,85.0,249.0,250.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.689204053194711,0,1,01,1,1
228,114123,100.0,6,2,2,257,26,90.0,199.0,350.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10.415359509620824,0,1,01,1,1
239,126443,89.0,8,2,2,275,332,84.0,189.0,400.0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.294358048441794,0,1,01,1,1
241,130439,80.0,3,1,1,321,7,100.0,69.0,0.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.519622120584032,1,0,10,2,3
246,139624,90.0,2,1,10,8,70,87.0,60.0,500.0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9.796148700374225,1,1,11,3,3
